City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather Description
220,Burns Lake,CA,54.2331,-125.7533,56.62,40,100,8.39,overcast clouds
221,Bakchar,RU,57.0186,82.0711,57.49,43,67,12.35,broken clouds
222,Lompoc,US,34.6391,-120.4579,57.34,84,100,14.97,overcast clouds
223,Hay River,CA,60.8156,-115.7999,39.18,70,49,4.61,scattered clouds
224,Bayanday,RU,53.0661,105.5139,61.99,34,75,8.86,broken clouds
225,Luderitz,NA,-26.6481,15.1594,59.97,57,16,6.49,few clouds
226,Sayyan,YE,15.1718,44.3244,62.42,17,67,5.35,broken clouds
227,Bajil,YE,15.0584,43.2851,84.92,48,100,3.29,overcast clouds
228,Arandis,NA,-22.4167,14.9667,63.88,22,58,14.45,broken clouds
229,Corn Island,NI,12.1694,-83.0418,82.2,77,100,17.47,overcast clouds
230,Grafton,US,42.207,-71.6856,71.51,92,100,11.5,overcast clouds
231,Bubaque,GW,11.2833,-15.8333,77.68,74,28,14.7,scattered clouds
232,Kollam,IN,8.8833,76.6,77.63,88,97,3.76,overcast clouds
233,Luanda,AO,-8.8368,13.2343,71.6,88,75,1.14,broken clouds
234,Mehamn,NO,71.0357,27.8492,40.95,75,0,4.61,clear sky
235,Umm Lajj,SA,25.0213,37.2685,75.7,64,0,12.39,clear sky
236,Saskylakh,RU,71.9167,114.0833,33.22,97,100,10.2,overcast clouds
237,Ribeira Grande,PT,38.5167,-28.7,64.09,93,100,4.36,overcast clouds
238,Taltal,CL,-25.4,-70.4833,62.64,69,1,4.12,clear sky
239,Tamandare,BR,-8.7597,-35.1047,76.21,85,51,11.72,broken clouds
240,Vao,NC,-22.6667,167.4833,75.47,81,1,12.91,clear sky
241,Vanimo,PG,-2.6741,141.3028,85.66,70,98,8.9,overcast clouds
242,Tomatlan,MX,19.9333,-105.25,72.05,83,0,2.86,clear sky
243,Tortosa,ES,40.8125,0.5216,71.13,53,46,7.02,scattered clouds
244,Uray,RU,60.1247,64.7758,43.21,67,10,12.95,clear sky
245,Athabasca,CA,54.7169,-113.2854,61.21,63,92,3.47,overcast clouds
246,Bilibino,RU,68.0546,166.4372,52.43,47,95,8.57,overcast clouds
247,Port Alfred,ZA,-33.5906,26.891,59.49,76,64,6.17,broken clouds
248,Izhmorskiy,RU,56.194,86.6414,48.25,84,97,13.56,light rain
249,Nuevo Casas Grandes,MX,30.4167,-107.9167,71.74,27,91,8.08,overcast clouds
250,Mahibadhoo,MV,3.7833,72.9667,83.34,75,70,13.15,broken clouds
251,Coquimbo,CL,-29.9533,-71.3436,55.13,100,0,3.44,clear sky
252,Joensuu,FI,62.6012,29.7632,43.29,87,100,3.44,overcast clouds
253,Orzu,TJ,37.5593,68.8184,63.0,50,43,2.57,scattered clouds
254,Kavieng,PG,-2.5744,150.7967,85.95,62,60,15.1,broken clouds
255,Los Banos,PH,14.1667,121.1833,90.09,62,87,2.39,overcast clouds
256,Iaciara,BR,-14.0958,-46.6317,64.13,61,0,1.54,clear sky
257,Rabo De Peixe,PT,37.8,-25.5833,66.27,93,75,3.44,broken clouds
258,Gashua,NG,12.871,11.0482,80.71,17,76,4.07,broken clouds
259,Dunmore Town,BS,25.5,-76.65,78.94,80,20,18.01,few clouds
260,At-Bashi,KG,41.1702,75.8106,40.75,97,100,1.7,light rain
261,Avera,US,33.194,-82.5271,73.45,68,100,7.07,overcast clouds
262,Broome,US,42.2506,-75.833,53.91,86,20,8.05,few clouds
263,Sawakin,SD,19.1059,37.3321,81.57,53,0,7.45,clear sky
264,Goderich,CA,43.7501,-81.7165,48.9,81,98,4.61,overcast clouds
265,Agirish,RU,61.9247,63.0231,37.78,80,83,12.17,broken clouds
266,Grindavik,IS,63.8424,-22.4338,42.75,93,0,5.75,clear sky
267,Kostomuksha,RU,64.571,30.5767,33.76,75,100,5.01,overcast clouds
268,Iqaluit,CA,63.7506,-68.5145,20.93,79,100,20.71,light snow
269,Honiara,SB,-9.4333,159.95,85.19,71,32,4.29,scattered clouds
270,Narrabri,AU,-30.3167,149.7833,67.51,60,97,5.01,overcast clouds
271,Turka,UA,49.1541,23.0297,42.15,96,97,2.98,overcast clouds
272,Aklavik,CA,68.2191,-135.0107,35.44,61,99,11.95,overcast clouds
273,Atbasar,KZ,51.8,68.3333,52.39,39,100,20.92,overcast clouds
274,Geraldton,AU,-28.7667,114.6,70.21,56,40,29.93,scattered clouds
275,Poum,NC,-20.2333,164.0167,76.87,78,26,21.88,scattered clouds
